"season","holiday","workingday","weather","temp","atemp","humidity","windspeed","weekday","hour","day","month","year","count"
3,0,1,1,0.237879109711238,0.241633139403052,52,0.241633139403052,2,23,10,9,2012,93
4,0,0,1,-0.394689483743199,-0.297215249993837,32,-0.297215249993837,7,14,19,11,2011,349
3,0,0,1,1.50301629662011,1.58697768963352,62,1.58697768963352,1,8,1,7,2012,142
2,0,1,1,-0.605545681561345,-0.476633999430383,46,-0.476633999430383,6,8,13,4,2012,563
3,0,1,1,1.18673199989289,1.13872688658578,54,1.13872688658578,4,1,10,8,2011,17
3,0,1,1,1.18673199989289,1.13872688658578,54,1.13872688658578,5,3,5,7,2012,7
1,0,1,1,-1.34354237392486,-1.46314105078776,30,-1.46314105078776,2,17,3,1,2011,157
1,0,1,2,-1.13268617610671,-1.28372230135122,57,-1.28372230135122,2,14,5,3,2012,128
4,0,1,1,-0.605545681561345,-0.476633999430383,76,-0.476633999430383,4,1,17,10,2012,17
3,0,1,1,1.08130390098382,0.959308137149237,42,0.959308137149238,5,20,14,7,2011,348
4,0,1,2,0.237879109711238,0.241633139403052,94,0.241633139403052,4,13,19,10,2011,106
4,0,1,1,1.08130390098382,1.04872144132389,54,1.04872144132389,5,16,4,10,2012,497
4,0,1,2,-0.605545681561345,-0.476633999430383,66,-0.476633999430383,2,11,19,11,2012,197
4,0,0,1,-0.500117582652272,-0.386628554168485,87,-0.386628554168485,7,19,8,12,2012,246
2,0,0,1,1.18673199989289,1.04872144132389,37,1.04872144132389,7,14,16,6,2012,573
4,0,1,2,-0.710973780470418,-0.745466053041578,62,-0.745466053041578,4,18,14,12,2011,390
1,0,0,1,-1.23811427501578,-1.46314105078776,35,-1.46314105078776,1,13,16,1,2011,118
4,1,0,1,-0.921829978288564,-1.01489024774002,57,-1.01489024774002,6,1,11,11,2011,19
2,0,1,1,-0.183833285925053,-0.11779650055729,44,-0.11779650055729,5,9,5,5,2011,184
2,0,0,1,-1.13268617610671,-1.19430899717657,65,-1.19430899717657,1,5,3,4,2011,5
1,0,1,1,-1.97611096737929,-2.0013972990974,54,-2.0013972990974,5,6,19,1,2012,86
1,0,1,2,-1.34354237392486,-1.37372774661312,87,-1.37372774661312,4,23,8,2,2012,60
1,0,1,1,-1.65982667065207,-1.64255980022431,64,-1.64255980022431,3,7,8,3,2011,128
1,0,1,1,-1.554398571743,-1.28372230135122,64,-1.28372230135122,4,0,5,1,2011,6
2,0,1,1,-0.394689483743199,-0.297215249993837,62,-0.297215249993837,6,23,13,4,2012,198
2,1,0,1,0.132451010802165,0.151627694141154,55,0.151627694141154,6,11,15,4,2011,136
3,0,0,2,1.08130390098382,1.13872688658578,84,1.13872688658578,1,8,15,7,2012,133
3,0,1,2,0.765019604256603,0.600470638276144,83,0.600470638276145,3,22,10,7,2012,139
1,0,0,2,-1.34354237392486,-1.46314105078776,60,-1.46314105078776,1,9,13,2,2011,47
3,0,0,1,1.39758819771104,1.49756438545888,66,1.49756438545888,1,8,5,8,2012,108
4,0,1,1,-1.13268617610671,-1.01489024774002,61,-1.01489024774002,2,19,12,12,2011,241
4,0,1,1,-1.13268617610671,-0.924884802478124,65,-0.924884802478124,4,3,14,12,2011,3
1,0,1,1,-0.710973780470418,-0.745466053041578,46,-0.745466053041578,4,21,16,2,2011,92
4,0,1,1,-0.710973780470418,-0.65605274886693,81,-0.65605274886693,2,1,3,10,2011,6
4,0,1,2,0.343307208620311,0.3310464435777,83,0.3310464435777,6,0,19,10,2012,56
4,0,0,1,-0.289261384834126,-0.207209804731939,54,-0.207209804731939,1,12,6,11,2011,346
3,0,1,1,2.03015679116548,1.85640188433197,35,1.85640188433197,3,19,17,7,2012,547
4,0,1,1,-1.23811427501578,-1.01489024774002,70,-1.01489024774002,3,23,13,12,2011,59
1,0,1,1,-1.02725807719764,-1.28372230135122,26,-1.28372230135122,4,22,2,3,2011,48
1,0,0,1,-1.76525476956115,-2.0013972990974,40,-2.0013972990974,1,19,12,2,2012,80
2,0,1,1,0.870447703165676,0.869302691887339,57,0.86930269188734,2,21,6,6,2011,189
1,0,1,2,-0.921829978288564,-0.745466053041578,62,-0.745466053041578,2,12,7,2,2011,66
2,0,1,1,0.0270229118930925,0.0616222488792559,29,0.061622248879256,6,20,13,4,2012,286
1,0,1,1,-1.554398571743,-1.46314105078776,51,-1.46314105078776,5,2,5,1,2012,4
2,0,1,1,0.132451010802165,0.151627694141154,34,0.151627694141154,4,1,18,4,2012,14
3,0,1,1,0.554163406438457,0.600470638276144,78,0.600470638276145,3,2,13,9,2011,2
3,0,0,1,1.39758819771104,1.22814019076043,45,1.22814019076043,7,18,16,7,2011,428
2,0,1,1,0.554163406438457,0.869302691887339,40,0.86930269188734,6,14,6,5,2011,213
2,0,0,3,0.554163406438457,0.869302691887339,35,0.86930269188734,7,14,7,5,2011,378
3,0,1,1,1.9247286922564,2.21523938320506,56,2.21523938320506,2,16,11,7,2011,239
3,0,1,1,1.29216009880197,1.13872688658578,48,1.13872688658578,5,19,12,7,2012,629
4,0,1,1,-0.289261384834126,-0.207209804731939,51,-0.207209804731939,5,0,11,10,2012,42
3,0,0,1,1.18673199989289,1.31814563602233,79,1.31814563602233,1,19,7,8,2011,228
2,0,1,2,0.237879109711238,0.241633139403052,68,0.241633139403052,3,5,12,4,2011,16
1,0,1,1,-0.394689483743199,-0.297215249993837,77,-0.297215249993837,5,13,12,1,2012,183
2,0,1,2,0.0270229118930925,0.0616222488792559,72,0.061622248879256,3,20,19,4,2011,168
4,0,1,1,0.0270229118930925,0.0616222488792559,51,0.061622248879256,5,12,3,11,2011,179
1,0,1,1,-1.23811427501578,-1.46314105078776,33,-1.46314105078776,4,12,5,1,2011,79
3,0,1,1,1.60844439552919,1.31814563602233,29,1.31814563602233,5,15,11,8,2011,178
1,0,1,2,-1.44897047283393,-1.28372230135122,44,-1.28372230135122,3,23,15,2,2011,20
4,0,0,1,-0.500117582652272,-0.386628554168485,58,-0.386628554168485,7,21,13,10,2012,204
3,0,1,1,1.18673199989289,1.13872688658578,51,1.13872688658578,6,17,14,9,2012,894
4,0,1,2,-1.13268617610671,-1.28372230135122,52,-1.28372230135122,4,5,7,11,2012,27
3,0,0,1,0.765019604256603,0.600470638276144,83,0.600470638276145,7,7,11,8,2012,62
3,0,1,2,1.29216009880197,1.31814563602233,66,1.31814563602233,3,1,19,7,2011,13
1,0,1,1,-1.65982667065207,-1.82197854966086,51,-1.82197854966086,3,3,6,3,2012,1
2,0,0,1,0.237879109711238,0.241633139403052,68,0.241633139403052,7,4,16,6,2012,8
2,0,0,1,0.65959150534753,0.869302691887339,43,0.86930269188734,7,12,2,6,2012,668
1,0,0,1,-1.87068286847022,-2.3602347979705,39,-2.3602347979705,1,12,12,2,2012,140
1,0,0,1,-1.13268617610671,-1.19430899717657,36,-1.19430899717657,1,21,4,3,2012,79
3,0,1,2,0.870447703165676,0.689883942450793,89,0.689883942450793,3,8,14,8,2012,618
3,0,1,1,0.0270229118930925,0.0616222488792559,77,0.061622248879256,4,3,12,9,2012,7
2,0,1,1,0.765019604256603,0.689883942450793,78,0.689883942450793,2,7,11,6,2012,503
3,0,0,1,1.50301629662011,1.76639643907007,70,1.76639643907007,1,6,8,7,2012,21
2,0,1,3,0.870447703165676,0.779889387712691,83,0.779889387712691,3,13,12,6,2012,59
4,0,1,1,0.0270229118930925,0.0616222488792559,45,0.061622248879256,6,21,14,10,2011,178
4,0,1,1,0.237879109711238,0.241633139403052,39,0.241633139403052,6,18,14,10,2011,423
2,0,0,1,0.65959150534753,0.869302691887339,53,0.86930269188734,7,22,16,6,2012,280
2,0,1,1,0.554163406438457,0.869302691887339,33,0.86930269188734,3,11,17,4,2012,239
1,0,1,1,-0.816401879379491,-0.924884802478124,46,-0.924884802478124,2,20,14,3,2011,129
1,0,0,1,-1.23811427501578,-1.01489024774002,60,-1.01489024774002,1,21,6,2,2011,27
1,0,1,1,-1.02725807719764,-1.10430355191467,28,-1.10430355191467,6,16,11,2,2011,125
3,0,1,1,1.9247286922564,1.85640188433197,41,1.85640188433197,5,14,7,7,2011,160
1,0,1,2,-0.710973780470418,-0.745466053041578,81,-0.745466053041578,4,10,16,3,2011,68
3,0,0,1,1.60844439552919,1.76639643907007,59,1.76639643907007,7,21,4,8,2012,289
3,0,1,2,1.60844439552919,1.67698313489542,55,1.67698313489542,4,17,8,8,2012,858
1,0,1,1,-1.34354237392486,-1.55314649604966,32,-1.55314649604966,4,18,18,1,2012,355
3,0,1,1,0.448735307529384,0.421051888839598,78,0.421051888839598,5,3,1,9,2011,14
4,0,0,1,-1.23811427501578,-1.37372774661312,48,-1.37372774661312,7,3,19,11,2011,15
3,0,0,2,0.65959150534753,0.421051888839598,94,0.421051888839598,1,6,3,7,2011,3
4,0,1,1,-0.0784051870159804,-0.0277910552953925,33,-0.0277910552953925,4,15,5,12,2012,285
3,0,1,1,1.08130390098382,1.13872688658578,74,1.13872688658578,4,1,6,7,2011,15
2,0,1,2,0.65959150534753,0.779889387712691,69,0.779889387712691,2,19,2,5,2011,314
1,0,1,2,-0.921829978288564,-0.745466053041578,81,-0.745466053041578,5,22,16,2,2012,111
2,0,1,1,-0.183833285925053,-0.11779650055729,59,-0.11779650055729,4,1,4,4,2012,11
3,0,0,1,0.554163406438457,0.689883942450793,73,0.689883942450793,7,3,15,9,2012,37
2,0,1,2,0.237879109711238,0.241633139403052,68,0.241633139403052,3,13,19,4,2011,129
3,0,1,2,0.0270229118930925,0.0616222488792559,77,0.061622248879256,2,5,19,9,2011,28
1,0,1,1,-0.710973780470418,-0.835471498303476,53,-0.835471498303476,4,11,15,2,2012,138
4,0,1,2,-0.710973780470418,-0.65605274886693,87,-0.65605274886693,2,11,5,12,2011,123
1,0,1,2,-1.554398571743,-1.64255980022431,40,-1.64255980022431,6,11,7,1,2011,67
3,0,1,1,0.554163406438457,0.510465193014247,83,0.510465193014247,2,3,15,8,2011,7
2,0,0,2,0.65959150534753,0.779889387712691,61,0.779889387712691,1,6,5,6,2011,21
2,0,1,3,1.08130390098382,1.04872144132389,70,1.04872144132389,6,17,1,6,2012,227
4,0,1,1,-0.289261384834126,-0.207209804731939,72,-0.207209804731939,4,19,9,11,2011,304
1,0,1,2,-1.554398571743,-1.55314649604966,86,-1.55314649604966,3,4,10,1,2012,4
4,0,0,1,-1.02725807719764,-0.835471498303476,28,-0.835471498303476,1,14,11,12,2011,242
1,0,1,1,0.765019604256603,0.869302691887339,41,0.86930269188734,6,13,18,3,2011,175
1,0,1,2,0.343307208620311,0.3310464435777,49,0.3310464435777,2,20,12,3,2012,286
1,0,1,1,-1.02725807719764,-1.01489024774002,42,-1.01489024774002,2,20,13,2,2012,214
1,0,1,1,-1.34354237392486,-1.55314649604966,35,-1.55314649604966,5,18,3,3,2011,167
1,0,1,1,0.0270229118930925,0.0616222488792559,59,0.061622248879256,5,1,15,3,2012,23
1,0,1,1,-1.23811427501578,-1.10430355191467,48,-1.10430355191467,3,0,8,3,2011,10
2,0,0,2,-0.605545681561345,-0.476633999430383,94,-0.476633999430383,1,9,10,4,2011,81
4,0,1,2,-0.605545681561345,-0.476633999430383,87,-0.476633999430383,6,4,4,11,2011,7
